WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 5 - 7 [Fractured].W02 - 3]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 88113
Total number of data points: 7311
Test date: 27/11/2017
Test time: 11:25:22
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
17.73	 0.47	 102.6090	 
17.73	 0.47	 102.7650	 
17.73	 0.47	 102.9059	 
17.73	 0.47	 103.0619	 
17.73	 0.47	 103.2030	 
17.73	 0.47	 103.3749	 
17.73	 0.47	 103.5150	 
17.73	 0.47	 103.6720	 
17.73	 0.47	 103.8119	 
17.73	 0.47	 103.9679	 
17.73	 0.47	 104.1090	 
17.73	 0.47	 104.2650	 
17.73	 0.47	 104.4059	 
17.73	 0.47	 104.5619	 
17.73	 0.47	 104.7030	 
17.73	 0.47	 104.8749	 
17.73	 0.47	 105.0150	 
17.73	 0.47	 105.1720	 
17.73	 0.48	 105.3119	 
17.73	 0.48	 105.4679	 
17.73	 0.47	 105.6090	 
17.73	 0.47	 105.7650	 
17.73	 0.47	 105.9059	 
17.73	 0.47	 106.0780	 
17.73	 0.47	 106.2179	 
17.73	 0.47	 106.3900	 
17.73	 0.47	 106.5309	 
17.73	 0.47	 106.7030	 
17.73	 0.47	 106.8429	 
