No.	Pos. [°2Th.]	Iobs [cts]	Icalc [cts]	Iback [cts]	CT [s]	ESD	D spacings
441	44.5297	79.6215	 	 	224.7900	 	2.03305
442	44.5627	71.0308	 	 	224.7900	 	2.03162
443	44.5957	64.5237	 	 	224.7900	 	2.03019
444	44.6287	63.8002	 	 	224.7900	 	2.02877
445	44.6617	69.9304	 	 	224.7900	 	2.02735
446	44.6947	76.7467	 	 	224.7900	 	2.02593
447	44.7277	77.9338	 	 	224.7900	 	2.02451
448	44.7607	65.8566	 	 	224.7900	 	2.02309
449	44.7937	62.3574	 	 	224.7900	 	2.02168
450	44.8267	62.1428	 	 	224.7900	 	2.02027
451	44.8597	59.4666	 	 	224.7900	 	2.01886
452	44.8927	74.2061	 	 	224.7900	 	2.01745
453	44.9257	71.7183	 	 	224.7900	 	2.01604
454	44.9587	72.9928	 	 	224.7900	 	2.01464
455	44.9917	70.2122	 	 	224.7900	 	2.01324
456	45.0247	79.2977	 	 	224.7900	 	2.01184
457	45.0577	61.0631	 	 	224.7900	 	2.01044
458	45.0907	59.3315	 	 	224.7900	 	2.00905
459	45.1237	66.1024	 	 	224.7900	 	2.00766
460	45.1567	73.6016	 	 	224.7900	 	2.00627
461	45.1897	69.9739	 	 	224.7900	 	2.00488
462	45.2227	60.1372	 	 	224.7900	 	2.00349
463	45.2557	58.2335	 	 	224.7900	 	2.00211
464	45.2887	69.5563	 	 	224.7900	 	2.00073
465	45.3217	66.0658	 	 	224.7900	 	1.99935
466	45.3547	59.7541	 	 	224.7900	 	1.99797
467	45.3877	59.5257	 	 	224.7900	 	1.99659
468	45.4207	70.1713	 	 	224.7900	 	1.99522
469	45.4537	54.3384	 	 	224.7900	 	1.99385
470	45.4867	69.2085	 	 	224.7900	 	1.99248
471	45.5197	71.7134	 	 	224.7900	 	1.99111
472	45.5527	67.0418	 	 	224.7900	 	1.98974
473	45.5857	67.7409	 	 	224.7900	 	1.98838
474	45.6187	60.2189	 	 	224.7900	 	1.98702
475	45.6517	70.9286	 	 	224.7900	 	1.98566
476	45.6847	62.0424	 	 	224.7900	 	1.98430
477	45.7177	56.1100	 	 	224.7900	 	1.98294
478	45.7507	53.0882	 	 	224.7900	 	1.98159
479	45.7837	63.5301	 	 	224.7900	 	1.98024
480	45.8167	66.8294	 	 	224.7900	 	1.97889
481	45.8497	68.8674	 	 	224.7900	 	1.97754
482	45.8827	59.8060	 	 	224.7900	 	1.97620
483	45.9157	67.1614	 	 	224.7900	 	1.97485
484	45.9487	57.2714	 	 	224.7900	 	1.97351
